time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-25 00:00:00+00:00,24,9,0,0
2026-05-26 00:00:00+00:00,20,9,1,1
2026-05-27 00:00:00+00:00,31,15,0,0
2026-05-28 00:00:00+00:00,17,8,15,3
2026-05-29 00:00:00+00:00,9,4,0,0
2026-05-30 00:00:00+00:00,21,7,5,3
2026-05-31 00:00:00+00:00,14,7,0,0
2026-06-01 00:00:00+00:00,17,7,2,1
2026-06-02 00:00:00+00:00,16,6,1,1
2026-06-03 00:00:00+00:00,22,8,1,1
2026-06-04 00:00:00+00:00,49,31,3,1
2026-06-05 00:00:00+00:00,17,7,26,2
2026-06-06 00:00:00+00:00,18,8,1,1
2026-06-07 00:00:00+00:00,22,8,0,0
